number,issue_date,department,applies_to,meant_for,subject,path
RBI/2026-2027/228,2026-08-06,DOR,Rural Co-operative Banks,,"Reserve Bank of India (Rural Co-operative Banks - Responsible Business Conduct) Fourth Amendment Directions, 2026",
RBI/2026-2027/231,2026-08-06,DOR,Housing Finance Companies,,"Reserve Bank of India (Housing Finance Companies) Third Amendment Directions, 2026",
RBI/2026-2027/226,2026-08-06,DOR,Regional Rural Banks,,"Reserve Bank of India (Regional Rural Banks - Responsible Business Conduct) Fourth Amendment Directions, 2026",
RBI/2026-2027/224,2026-08-06,DOR,Small Finance Banks,,"Reserve Bank of India (Small Finance Banks - Responsible Business Conduct) Fourth Amendment Directions, 2026",
RBI/2026-27/230,2026-08-06,DOR,Non-Banking Financial Companies,,"Reserve Bank of India (Non-Banking Financial Companies - Responsible Business Conduct) Third Amendment Directions, 2026",
RBI/2026-27/229,2026-08-06,DOR,All India Financial Institutions,,"Reserve Bank of India (All India Financial Institutions - Responsible Business Conduct) Third Amendment Directions, 2026",
RBI/2026-27/227,2026-08-06,DOR,Urban Co-operative Banks,,"Reserve Bank of India (Urban Co-operative Banks - Responsible Business Conduct) Fourth Amendment Directions, 2026",
RBI/2026-27/225,2026-08-06,DOR,Local Area Banks,,"Reserve Bank of India (Local Area Banks - Responsible Business Conduct) Fourth Amendment Directions, 2026",
RBI/2026-27/223,2026-08-06,DOR,Commercial Banks,,"Reserve Bank of India (Commercial Banks - Responsible Business Conduct) Fourth Amendment Directions, 2026",
RBI/DoS/2026-27/221,2026-07-31,DOS,,,Consolidation of Supervisory Instructions – Repeal of Circulars,
RBI/2026-27/222,2026-07-31,DOR,Small Finance Banks; Payments Banks; Local Area Banks; Regional Rural Banks; Urban Co-operative Banks; Rural Co-operative Banks; Commercial Banks; Non-Banking Financial Companies; Asset Reconstruction Companies; All India Financial Institutions,"The Chairpersons/ CEOs of the Commercial Banks, Small Finance Banks, Payment Banks, Urban Co-operative Banks, Rural Co-operative Banks, Regional Rural Banks, Local Area Banks, Non-Banking Financial Companies, Asset Reconstruction Companies, All India Financial Institutions","Implementation of Section 51A of UAPA, 1967: Updates to UNSC’s 1988 (2011) Taliban Sanctions List: Amendment of 05 Entries:",
